ts,ready,running,completed,failed,queue_lag_seconds,throughput_per_second,avg_wait_priority_100,avg_wait_priority_0
2026-05-07T22:41:01.704344,1176,2,116,0,12.777,8,11.300,0.015
2026-05-07T22:41:02.710931,1268,2,124,0,13.783,8,10.906,0.015
2026-05-07T22:41:03.717113,1362,2,131,0,14.790,7,10.677,0.015
2026-05-07T22:41:04.722170,1451,2,142,0,15.794,11,10.434,0.015
2026-05-07T22:41:05.733273,1545,2,149,0,16.803,7,10.286,0.015
2026-05-07T22:41:06.735648,1636,2,158,0,17.808,9,10.178,0.015
2026-05-07T22:41:07.745618,1727,2,168,0,18.816,10,10.103,0.015
2026-05-07T22:41:08.749520,1822,2,174,0,19.823,6,10.076,0.015
2026-05-07T22:41:09.756210,1915,2,181,0,20.828,7,10.082,0.015
2026-05-07T22:41:10.766302,2009,2,188,0,21.837,7,10.116,0.015
2026-05-07T22:41:11.771573,2101,2,197,0,22.843,9,10.182,0.015
2026-05-07T22:41:12.775493,2191,2,207,0,23.847,10,10.250,0.015
2026-05-07T22:41:13.778420,2283,2,216,0,24.851,9,10.321,0.015
2026-05-07T22:41:14.789433,2376,2,224,0,25.859,8,10.382,0.015
2026-05-07T22:41:15.795548,2468,2,232,0,26.867,8,10.462,0.015
2026-05-07T22:41:16.803890,2560,2,241,0,27.875,9,10.558,0.015
2026-05-07T22:41:17.808321,2650,2,251,0,28.880,10,10.673,0.015
2026-05-07T22:41:18.817760,2742,2,260,0,29.888,9,10.792,0.015
2026-05-07T22:41:19.825408,2834,2,269,0,30.896,9,10.913,0.015
2026-05-07T22:41:20.834486,2926,2,278,0,31.905,9,11.028,0.015
2026-05-07T22:41:21.840947,3020,2,285,0,32.912,7,11.156,0.015
2026-05-07T22:41:22.852292,3072,2,292,0,33.922,7,11.295,0.015
2026-05-07T22:41:23.865013,3064,2,300,0,34.934,8,11.423,0.015
2026-05-07T22:41:24.876224,3055,2,309,0,35.944,9,11.562,0.015
2026-05-07T22:41:25.886048,3048,2,316,0,36.957,7,11.694,0.015
2026-05-07T22:41:26.893919,3040,2,324,0,37.964,7,11.849,0.015
2026-05-07T22:41:27.901729,3197,2,332,0,38.974,8,12.027,0.015
2026-05-07T22:41:28.907175,3490,2,339,0,39.980,7,12.169,0.015
2026-05-07T22:41:29.911349,3783,2,349,0,40.983,10,12.353,0.015
2026-05-07T22:41:30.919353,4078,2,357,0,41.991,8,12.561,0.015
2026-05-07T22:41:31.925096,4372,2,364,0,42.997,7,12.735,0.015
2026-05-07T22:41:32.928273,4664,2,373,0,44.000,9,12.911,0.015
2026-05-07T22:41:33.934593,4957,2,382,0,45.005,9,13.091,0.015
2026-05-07T22:41:34.942108,5252,2,389,0,46.012,7,13.298,0.015
2026-05-07T22:41:35.948932,5543,2,399,0,47.019,10,13.529,0.015
2026-05-07T22:41:36.954563,5840,2,405,0,48.025,6,13.722,0.015
2026-05-07T22:41:37.963696,6133,2,414,0,49.034,9,13.919,0.015
2026-05-07T22:41:38.972355,6427,2,423,0,50.043,9,14.119,0.015
2026-05-07T22:41:39.981237,6720,2,433,0,51.051,10,14.344,0.015
2026-05-07T22:41:40.986042,7014,2,440,0,52.057,7,14.568,0.015
2026-05-07T22:41:41.991421,7306,2,450,0,53.061,10,14.815,0.015
2026-05-07T22:41:43.004652,7601,2,458,0,54.073,8,15.063,0.015
2026-05-07T22:41:44.014095,7895,2,467,0,55.083,9,15.266,0.015
2026-05-07T22:41:45.023694,8181,2,478,0,56.094,11,15.516,0.015
2026-05-07T22:41:46.028485,8481,2,487,0,57.100,9,15.723,0.015
2026-05-07T22:41:47.033554,8773,2,496,0,58.104,9,15.950,0.015
2026-05-07T22:41:48.040860,9069,2,502,0,59.111,6,16.134,0.015
2026-05-07T22:41:49.047500,9359,2,513,0,60.117,11,16.409,0.015
2026-05-07T22:41:50.054925,9652,2,522,0,61.124,9,16.636,0.015
2026-05-07T22:41:51.065315,9946,2,531,0,62.133,8,16.887,0.015
2026-05-07T22:41:52.076815,10244,2,537,0,63.146,6,17.114,0.015
2026-05-07T22:41:53.085033,10535,2,548,0,64.153,11,17.365,0.015
2026-05-07T22:41:54.092926,10831,2,555,0,65.162,7,17.570,0.015
2026-05-07T22:41:55.103329,11124,2,564,0,66.170,9,17.759,0.015
2026-05-07T22:41:56.117861,11420,2,572,0,67.184,8,17.918,0.015
2026-05-07T22:41:57.132928,11715,2,581,0,68.198,9,18.069,0.015
2026-05-07T22:41:58.140659,12009,2,591,0,69.208,10,18.263,0.015
2026-05-07T22:41:59.148739,12303,2,599,0,70.217,8,18.427,0.015
2026-05-07T22:42:00.158196,12598,2,607,0,71.227,8,18.599,0.015
2026-05-07T22:42:01.166915,12891,2,616,0,72.234,9,18.777,0.015
2026-05-07T22:42:02.176538,13185,2,625,0,73.243,9,18.982,0.015
2026-05-07T22:42:03.191272,13481,2,634,0,74.257,9,19.192,0.015
2026-05-07T22:42:04.200164,13760,2,644,0,75.267,10,19.406,0.015
2026-05-07T22:42:05.211241,14068,2,654,0,76.280,10,19.628,0.015
2026-05-07T22:42:06.218629,14362,2,662,0,77.287,8,19.856,0.015
2026-05-07T22:42:07.230427,14654,2,672,0,78.297,9,20.111,0.015
2026-05-07T22:42:08.240604,14947,2,682,0,79.307,10,20.346,0.015
2026-05-07T22:42:09.249908,15241,2,691,0,80.317,9,20.587,0.015
2026-05-07T22:42:10.270010,15538,2,699,0,81.334,8,20.784,0.015
2026-05-07T22:42:11.284782,15833,2,709,0,82.350,10,21.035,0.015
2026-05-07T22:42:12.299027,16130,2,716,0,83.364,7,21.240,0.015
2026-05-07T22:42:13.313525,16424,2,727,0,84.378,11,21.527,0.015
2026-05-07T22:42:14.321080,16718,2,736,0,85.390,9,21.766,0.015
2026-05-07T22:42:15.331990,17012,2,744,0,86.397,8,22.008,0.015
2026-05-07T22:42:16.342641,17308,2,752,0,87.408,8,22.253,0.015
2026-05-07T22:42:17.358685,17603,2,761,0,88.423,8,22.528,0.015
2026-05-07T22:42:18.372510,17902,2,767,0,89.438,6,22.752,0.015
2026-05-07T22:42:19.389617,18197,2,775,0,90.451,8,23.008,0.015
2026-05-07T22:42:20.401057,18491,2,784,0,91.465,8,23.295,0.015
2026-05-07T22:42:21.419656,18790,2,792,0,92.482,7,23.556,0.015
2026-05-07T22:42:22.432740,19082,2,804,0,93.496,12,23.908,0.015
2026-05-07T22:42:23.449889,19376,2,815,0,94.513,11,24.234,0.015
2026-05-07T22:42:24.465034,19673,2,823,0,95.529,8,24.533,0.015
2026-05-07T22:42:25.481486,19970,2,831,0,96.546,8,24.864,0.015
2026-05-07T22:42:26.493845,20266,2,839,0,97.557,8,25.169,0.015
2026-05-07T22:42:27.511292,20560,2,849,0,98.572,10,25.475,0.015
2026-05-07T22:42:28.533426,20855,2,860,0,99.591,10,25.814,0.015
2026-05-07T22:42:29.549603,21151,2,870,0,100.612,10,26.124,0.015
2026-05-07T22:42:30.563344,21446,2,879,0,101.627,9,26.405,0.015
2026-05-07T22:42:31.585267,21744,2,886,0,102.643,7,26.690,0.015
2026-05-07T22:42:32.601513,22040,2,896,0,103.663,10,27.008,0.015
2026-05-07T22:42:33.620905,22336,2,905,0,104.679,9,27.361,0.015
2026-05-07T22:42:34.634434,22630,2,916,0,105.696,11,27.714,0.015
2026-05-07T22:42:35.650172,22929,2,922,0,106.713,6,27.941,0.015
2026-05-07T22:42:36.662604,23226,2,930,0,107.728,8,28.269,0.015
2026-05-07T22:42:37.674787,23522,2,937,0,108.738,7,28.566,0.015
2026-05-07T22:42:38.692652,23818,2,946,0,109.755,9,28.930,0.015
2026-05-07T22:42:39.704044,24115,2,953,0,110.769,7,29.197,0.015
2026-05-07T22:42:40.718798,24411,2,961,0,111.780,7,29.500,0.015
2026-05-07T22:42:41.747916,24706,2,971,0,112.799,10,29.872,0.015
2026-05-07T22:42:42.766873,25006,2,980,0,113.828,9,30.178,0.015
2026-05-07T22:42:43.786613,25305,2,987,0,114.847,7,30.519,0.015
2026-05-07T22:42:44.803625,25600,2,997,0,115.866,10,30.861,0.015
2026-05-07T22:42:45.820311,25894,2,1009,0,116.884,12,31.273,0.015
2026-05-07T22:42:46.835049,26189,2,1017,0,117.896,8,31.618,0.015
2026-05-07T22:42:47.854565,26485,2,1027,0,118.914,10,31.964,0.015
2026-05-07T22:42:48.867526,26782,2,1034,0,119.929,7,32.243,0.015
2026-05-07T22:42:49.887411,27077,2,1044,0,120.946,10,32.593,0.015
2026-05-07T22:42:50.904049,27373,2,1054,0,121.963,10,33.015,0.015
2026-05-07T22:42:51.916464,27670,2,1061,0,122.979,7,33.367,0.015
2026-05-07T22:42:52.934237,27967,2,1069,0,123.994,8,33.685,0.015
2026-05-07T22:42:53.950748,28263,2,1078,0,125.010,8,34.040,0.015
2026-05-07T22:42:54.968980,28563,2,1083,0,126.027,5,34.326,0.015
2026-05-07T22:42:55.988726,28861,2,1091,0,127.047,8,34.650,0.015
2026-05-07T22:42:57.006621,29156,2,1101,0,128.066,10,35.045,0.015
2026-05-07T22:42:58.026435,29453,2,1110,0,129.086,9,35.369,0.015
2026-05-07T22:42:59.042980,29747,2,1121,0,130.103,11,35.766,0.015
2026-05-07T22:43:00.058361,30044,2,1131,0,131.124,10,36.128,0.015
2026-05-07T22:43:01.071928,30334,2,1143,0,132.134,12,36.599,0.015
2026-05-07T22:43:02.091544,30631,2,1151,0,133.151,8,36.997,0.015
2026-05-07T22:43:03.110595,30928,2,1160,0,134.171,9,37.360,0.015
2026-05-07T22:43:04.127235,31221,2,1170,0,135.187,10,37.723,0.015
2026-05-07T22:43:05.138150,31520,2,1179,0,136.206,9,38.088,0.015
2026-05-07T22:43:06.153910,31813,2,1188,0,137.215,9,38.452,0.015
2026-05-07T22:43:07.170228,32109,2,1197,0,138.230,8,38.818,0.015
2026-05-07T22:43:08.189303,32403,2,1209,0,139.251,12,39.258,0.015
2026-05-07T22:43:09.207413,32699,2,1218,0,140.267,9,39.625,0.015
2026-05-07T22:43:10.226393,32997,2,1225,0,141.283,7,39.920,0.015
2026-05-07T22:43:11.241639,33293,2,1235,0,142.303,10,40.289,0.015
2026-05-07T22:43:12.258265,33587,2,1245,0,143.318,10,40.696,0.015
2026-05-07T22:43:13.276247,33883,2,1254,0,144.334,9,41.102,0.015
2026-05-07T22:43:14.286449,34180,2,1263,0,145.353,8,41.472,0.015
2026-05-07T22:43:15.308948,34475,2,1272,0,146.366,9,41.807,0.015
2026-05-07T22:43:16.323898,34770,2,1283,0,147.385,11,42.217,0.015
2026-05-07T22:43:17.364628,35070,2,1290,0,148.409,7,42.554,0.015
2026-05-07T22:43:18.390963,35369,2,1301,0,149.444,10,42.965,0.015
2026-05-07T22:43:19.411660,35670,2,1308,0,150.470,7,43.266,0.015
